,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Raúl Jiménez,mx MEX,9.0,FW,28-236,89,1,1,0,0,5,2,0,0,47,0,1,0,0.8,0.8,0.6,2,0,22,30,73.3,2,25,0,3,0,22,30,73.3,324,67,9,11,81.8,6,7,85.7,2,4,50.0,1,0.6,0.4,3,1,2,0,2,30,28,2,0,1,2,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,47,0,1,14,32,11,47,3,0,0.0,3,100.0,25,159,14,0,1,1,3,1,36,6,0,0,0,0,1,0,0,1,0,0,0,0,1,4,3,57.1
1,Ryan Bennett,eng ENG,5.0,CB,29-296,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Diogo Jota,pt POR,18.0,LW,23-023,78,0,0,0,0,2,0,0,0,41,2,0,1,0.6,0.6,0.0,3,0,21,28,75.0,0,21,4,3,1,21,28,75.0,249,9,16,18,88.9,4,5,80.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,28,26,2,0,0,0,4,0,0,0,0,0,21,0,2,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0,41,0,1,16,25,6,41,3,1,33.3,2,66.7,21,155,92,4,2,1,2,4,32,12,0,0,0,0,4,0,4,0,2,0,0,0,1,3,5,37.5
3,Pedro Neto,pt POR,7.0,"LW,FW",19-293,12,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,0,12,2,2,1,7,10,70.0,96,0,6,8,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,2,1,10,2,13,2,1,50.0,1,50.0,12,61,43,2,1,2,1,0,11,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,
4,Adama Traoré,es ESP,37.0,RW,23-336,90,1,1,0,0,5,2,0,0,53,0,0,0,0.2,0.2,0.7,5,1,28,40,70.0,4,40,11,11,10,28,40,70.0,488,77,14,20,70.0,11,13,84.6,3,3,100.0,1,0.7,0.7,3,2,2,2,4,40,40,0,0,0,0,9,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,53,0,0,15,39,4,53,11,10,90.9,1,9.1,40,393,199,11,8,2,4,1,43,6,0,0,0,2,0,0,9,0,0,0,0,0,3,3,1,75.0
5,Jonny Castro,es ESP,19.0,LM,25-299,72,0,0,0,0,1,0,0,0,63,2,0,4,0.0,0.0,0.1,5,0,42,50,84.0,2,31,5,2,1,42,50,84.0,520,135,28,31,90.3,10,13,76.9,1,1,100.0,0,0.1,0.1,2,3,0,0,2,50,38,12,0,0,0,4,12,0,0,0,0,42,0,0,2,1,0,0,2,0,1,0.0,1,4,0,4,0,2,0,0,63,0,6,25,32,7,63,2,1,50.0,1,50.0,31,179,122,5,3,3,3,2,34,12,0,0,0,1,2,0,4,0,1,0,0,0,3,2,2,50.0
6,Rúben Vinagre,pt POR,29.0,"LM,WB",20-262,18,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,1,10,2,0,0,9,12,75.0,106,40,8,8,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,1,1,1,1,12,12,0,0,0,0,3,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,0,2,3,7,0,12,0,0,,0,,10,69,46,2,1,0,0,0,10,1,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,
7,João Moutinho,pt POR,28.0,CM,33-110,90,0,0,0,0,1,1,0,0,91,1,0,0,0.1,0.1,0.6,10,0,79,89,88.8,13,59,3,0,0,79,89,88.8,1673,310,20,23,87.0,41,44,93.2,16,19,84.2,0,0.6,0.3,6,7,0,0,13,89,75,14,10,0,2,7,0,3,0,1,0,79,0,0,1,1,0,0,1,1,4,25.0,3,0,0,0,0,1,0,0,91,0,7,52,32,0,91,0,0,,0,,59,349,181,3,1,0,0,0,70,3,0,0,0,1,1,0,7,0,1,0,0,0,5,0,1,0.0
8,Rúben Neves,pt POR,8.0,CM,22-289,90,0,1,0,0,2,1,0,0,105,1,2,2,0.0,0.0,0.1,5,1,87,99,87.9,12,68,3,1,1,87,99,87.9,1808,341,27,32,84.4,46,49,93.9,13,16,81.3,1,0.1,0.1,3,19,2,1,12,99,99,0,0,2,4,1,0,0,0,0,0,87,0,1,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,0,0,105,1,15,73,17,0,105,1,1,100.0,0,0.0,68,367,246,3,0,0,0,0,89,0,0,0,0,0,0,0,1,2,0,0,0,0,11,1,1,50.0
9,Matt Doherty,ie IRL,2.0,RM,27-345,90,1,0,0,0,2,1,0,0,65,1,0,0,0.4,0.4,0.0,4,2,52,60,86.7,3,38,4,2,2,52,60,86.7,800,164,27,30,90.0,16,17,94.1,6,7,85.7,0,0.0,0.1,0,2,1,1,3,60,53,7,0,0,0,2,7,0,0,0,0,52,0,0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,65,1,2,37,26,4,65,2,2,100.0,0,0.0,38,248,156,4,2,1,3,0,49,7,0,0,0,0,1,0,2,0,1,0,0,0,2,3,1,75.0
