,Player,Nation,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Anthony Martial,fr FRA,9.0,FW,25-021,74,0,0,0,0,2,1,0,0,20,0,0,0,0.1,0.1,0.1,1,0,6,11,54.5,1,12,1,3,2,6,11,54.5,128,28,2,4,50.0,3,4,75.0,1,1,100.0,0,0.1,0.1,1,0,0,0,1,11,11,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,20,0,3,9,9,2,20,3,2,66.7,1,33.3,12,86,31,1,1,0,2,1,18,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0.0
1,Edinson Cavani,uy URU,7.0,FW,33-316,16,0,1,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.4,1,1,4,5,80.0,1,1,0,0,0,4,5,80.0,67,33,1,2,50.0,3,3,100.0,0,0,,1,0.4,0.3,1,0,1,0,1,5,5,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,5,1,1,2,2,1,5,0,0,,0,,1,5,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
2,Marcus Rashford,eng ENG,10.0,"LW,RW",23-056,90,1,0,0,0,3,2,0,0,34,1,0,2,0.9,0.9,0.0,2,0,13,18,72.2,2,21,4,5,2,13,18,72.2,180,98,9,10,90.0,2,4,50.0,2,2,100.0,0,0.0,0.0,0,2,2,0,2,18,17,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,1,0,0,0,1,0.0,1,2,1,1,0,1,3,0,34,5,8,14,15,4,34,5,2,40.0,3,60.0,21,178,124,4,2,1,3,1,23,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,
3,Daniel James,wls WAL,21.0,RW,23-046,53,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,1,12,20,60.0,3,12,1,1,1,12,20,60.0,159,54,7,11,63.6,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,1,0,3,20,19,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,25,0,7,15,4,0,25,1,1,100.0,0,0.0,12,71,43,1,0,0,2,3,18,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0.0
4,Paul Pogba,fr FRA,6.0,"AM,RW",27-286,37,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,6,12,50.0,1,8,1,2,2,6,12,50.0,91,22,2,6,33.3,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,12,11,0,0,0,0,1,0,0,0,0,0,6,1,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,18,2,2,12,4,0,18,2,2,100.0,0,0.0,8,48,24,1,1,0,1,1,13,4,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0.0
5,Bruno Fernandes,pt POR,18.0,"AM,LW",26-109,90,1,1,0,0,3,1,1,0,64,3,1,1,0.6,0.6,0.7,3,1,33,49,67.3,6,30,4,0,0,33,49,67.3,650,157,12,14,85.7,16,22,72.7,4,8,50.0,1,0.7,0.3,3,4,0,0,6,49,44,5,0,1,2,3,2,0,0,0,0,33,0,1,3,3,0,2,1,1,4,25.0,3,1,0,1,1,4,0,0,64,0,9,33,22,7,64,0,0,,0,,30,168,119,4,2,0,4,2,46,8,1,0,0,4,1,0,3,1,3,0,0,0,4,2,4,33.3
6,Fred,br BRA,17.0,DM,27-296,90,0,0,0,0,0,0,0,0,87,5,4,3,0.0,0.0,0.3,2,0,56,72,77.8,7,45,2,2,2,56,72,77.8,913,203,27,31,87.1,25,28,89.3,3,6,50.0,0,0.3,0.0,1,4,0,0,7,72,68,4,3,0,0,0,1,0,0,0,0,56,0,4,5,2,3,2,0,3,4,75.0,1,3,0,3,4,9,1,0,87,4,29,55,5,0,87,2,2,100.0,0,0.0,45,282,165,2,1,0,1,0,51,3,0,0,0,3,3,0,0,4,2,0,0,0,15,0,1,0.0
7,Scott McTominay,sct SCO,39.0,DM,24-018,90,0,0,0,0,0,0,0,0,39,6,1,4,0.0,0.0,0.0,0,0,19,21,90.5,2,17,1,1,0,19,21,90.5,278,101,10,11,90.9,9,10,90.0,0,0,,0,0.0,0.0,0,0,0,0,2,21,19,2,2,0,0,0,0,0,0,0,0,19,0,0,6,2,3,3,0,2,2,100.0,0,4,1,3,1,7,2,0,39,4,16,20,4,0,39,1,0,0.0,1,100.0,17,90,39,1,1,0,2,2,16,1,0,0,0,1,1,0,0,1,2,0,0,0,6,1,1,50.0
8,Luke Shaw,eng ENG,23.0,LB,25-167,90,0,0,0,0,0,0,0,0,56,2,0,1,0.0,0.0,0.2,5,0,42,49,85.7,2,32,5,2,2,42,49,85.7,508,198,25,28,89.3,11,12,91.7,2,3,66.7,0,0.2,0.2,3,2,1,0,2,49,41,8,2,0,0,2,6,0,0,0,0,42,0,2,2,2,2,0,0,0,1,0.0,1,1,0,1,0,2,0,0,56,2,14,27,18,1,56,2,2,100.0,0,0.0,32,286,208,5,2,0,2,1,30,7,0,0,0,2,1,0,2,0,2,0,0,0,10,2,2,50.0
9,Harry Maguire,eng ENG,5.0,CB,27-296,90,0,0,0,0,1,0,0,0,71,0,0,0,0.1,0.1,0.0,0,0,55,64,85.9,4,42,2,0,0,55,64,85.9,924,275,23,26,88.5,28,30,93.3,3,6,50.0,0,0.0,0.0,0,3,0,0,4,64,63,1,1,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,71,8,34,35,2,1,71,0,0,,0,,42,284,204,2,0,0,0,0,52,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,100.0
10,Eric Bailly,ci CIV,3.0,CB,26-258,90,0,0,0,0,0,0,0,0,76,1,0,0,0.0,0.0,0.0,1,1,61,70,87.1,4,51,2,0,0,61,70,87.1,997,408,31,33,93.9,25,30,83.3,5,6,83.3,0,0.0,0.0,0,1,0,0,4,70,68,2,2,0,0,0,0,0,0,0,0,61,0,1,1,1,0,0,1,0,0,,0,0,0,0,0,1,5,0,76,12,35,42,1,0,76,0,0,,0,,51,392,250,2,0,0,1,0,53,0,0,0,0,1,0,0,0,0,1,0,0,0,11,1,0,100.0
11,Victor Lindelöf,se SWE,2.0,RB,26-162,65,0,0,0,0,0,0,0,0,59,2,2,1,0.0,0.0,0.0,0,0,39,52,75.0,2,23,0,0,0,39,52,75.0,478,202,27,32,84.4,12,15,80.0,0,3,0.0,0,0.0,0.0,0,4,0,0,2,52,38,14,1,0,0,0,13,0,0,0,0,39,0,0,2,1,0,2,0,2,2,100.0,0,1,0,1,2,4,1,0,59,2,22,33,4,0,59,0,0,,0,,23,83,33,0,0,0,1,0,27,1,0,0,0,2,0,0,0,2,1,0,0,0,2,2,0,100.0
12,Axel Tuanzebe,eng ENG,38.0,RB,23-042,25,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,0,10,0,1,0,12,15,80.0,161,20,9,9,100.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,15,12,2,0,0,0,0,2,0,0,0,0,12,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,1,3,9,5,0,17,1,0,0.0,1,100.0,10,36,16,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
