,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Javier Hernández,17.0,mx MEX,"FW,LW",29-079,90,22,17,5,1,0,0,5,1,0,0,0,0,15,0,0
1,Marko Arnautović,7.0,at AUT,LW,28-122,32,13,12,1,0,0,0,2,0,1,0,1,0,9,0,1
2,Michail Antonio,30.0,jm JAM,RW,27-144,67,17,15,2,0,1,0,0,2,0,0,0,0,10,0,1
3,Diafra Sakho,15.0,sn SEN,"FW,RW",27-238,23,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
4,André Ayew,20.0,gh GHA,AM,27-245,67,20,19,1,1,0,0,0,0,0,0,0,0,13,0,1
5,Edimilson Fernandes,31.0,ch SUI,"RW,AM",21-126,23,7,7,0,0,0,1,1,0,0,0,0,0,4,0,0
6,Mark Noble,16.0,eng ENG,DM,30-103,90,46,38,8,7,0,2,3,0,1,0,0,1,37,0,0
7,Declan Rice,41.0,eng ENG,DM,18-217,75,30,29,1,0,0,0,0,0,0,0,0,0,23,0,0
8,Pedro Obiang,14.0,gq EQG,DM,25-145,15,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-247,90,32,24,8,4,0,1,6,4,0,0,0,0,23,0,2
10,Angelo Ogbonna,21.0,it ITA,CB,29-088,90,31,29,2,1,0,0,0,1,0,0,0,0,24,0,1
11,José Fonte,4.0,pt POR,CB,33-240,90,21,21,0,0,0,0,0,0,0,0,0,0,14,0,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-215,90,34,29,5,0,0,0,1,5,0,0,0,0,24,0,2
13,Joe Hart,25.0,eng ENG,GK,30-122,90,37,20,17,5,0,0,0,0,0,0,0,0,13,0,0
14,14 Players,,,,,932,318,268,50,19,1,4,18,13,2,0,1,1,213,0,8
