,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Sam Vokes,9.0,wls WAL,FW,27-302,90,37,2,3,14,20,4,37,0,0,,0,,11,28,5,0,0,0,4,1,29,6
1,Jeff Hendrick,13.0,ie IRL,"FW,LM",25-200,90,52,0,1,33,18,4,52,1,1,100.0,0,0.0,22,72,19,0,0,0,2,1,37,7
2,Robbie Brady,12.0,ie IRL,LM,25-217,77,52,0,3,24,25,1,52,2,2,100.0,0,0.0,26,145,68,3,2,1,1,3,39,7
3,Jonathan Walters,19.0,ie IRL,LW,33-333,13,6,0,0,0,6,4,6,0,0,,0,,4,6,1,0,0,0,1,0,6,2
4,Steven Defour,16.0,be BEL,"CM,RM",29-126,90,81,1,12,55,15,1,81,1,1,100.0,0,0.0,47,417,296,6,3,0,2,0,62,3
5,Jack Cork,4.0,eng ENG,CM,28-055,90,73,0,8,54,11,0,73,2,2,100.0,0,0.0,36,216,115,3,4,0,0,3,47,0
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-296,78,30,0,2,12,16,1,30,1,1,100.0,0,0.0,16,102,51,1,1,0,1,0,26,8
7,Ashley Barnes,10.0,eng ENG,RW,27-293,12,5,0,0,1,5,3,5,1,1,100.0,0,0.0,3,52,34,1,1,0,0,0,4,2
8,Stephen Ward,23.0,ie IRL,LB,31-364,90,70,2,16,37,17,1,70,0,0,,0,,19,62,10,1,0,0,3,0,31,7
9,Ben Mee,6.0,eng ENG,CB,27-332,90,67,5,35,32,1,1,67,0,0,,0,,28,155,121,0,0,0,0,0,38,0
10,James Tarkowski,5.0,eng ENG,CB,24-273,90,63,6,32,31,1,0,63,0,0,,0,,31,251,202,0,0,0,0,1,39,1
11,Matthew Lowton,2.0,eng ENG,RB,28-071,90,63,1,13,34,16,0,63,1,1,100.0,0,0.0,24,100,74,0,1,0,0,0,37,9
12,Tom Heaton,1.0,eng ENG,GK,31-126,90,33,20,30,3,0,0,33,0,0,,0,,10,79,55,0,0,0,0,0,7,0
13,13 Players,,,,,990,632,37,155,330,151,20,632,9,9,100.0,0,0.0,277,1685,1051,15,12,1,14,9,402,52
