,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Harry Kane,10.0,eng ENG,FW,24-023,90,1,0,0,2,2,0,1,0,0,0,0,0,3,0,1,0.0
1,Dele Alli,20.0,eng ENG,AM,21-131,90,0,0,0,1,6,0,1,0,0,0,0,0,0,2,2,50.0
2,Christian Eriksen,23.0,dk DEN,AM,25-187,90,0,0,0,1,2,0,13,0,1,0,0,0,3,0,0,
3,Mousa Dembélé,19.0,be BEL,"LM,CM",30-035,90,0,0,0,3,1,0,0,3,3,0,0,0,6,0,0,
4,Victor Wanyama,12.0,ke KEN,"CM,CB",26-056,90,0,0,0,1,1,0,0,0,0,0,0,0,9,3,0,100.0
5,Eric Dier,15.0,eng ENG,RM,23-217,67,1,0,0,1,1,0,4,1,1,0,0,0,2,1,4,20.0
6,Son Heung-min,7.0,kr KOR,"CB,WB",25-043,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
7,Ben Davies,33.0,wls WAL,LB,24-118,79,0,0,0,0,3,0,11,0,1,0,0,0,1,1,0,100.0
8,Moussa Sissoko,17.0,fr FRA,"CM,LB",28-004,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
9,Jan Vertonghen,5.0,be BEL,CB,30-118,90,1,0,0,2,1,0,3,0,2,0,0,0,9,1,1,50.0
10,Toby Alderweireld,4.0,be BEL,CB,28-171,90,1,0,0,1,1,0,0,0,0,0,0,0,3,1,4,20.0
11,Kieran Trippier,2.0,eng ENG,"RB,WB",26-335,89,0,0,0,0,2,0,4,0,0,0,0,0,3,0,1,0.0
12,Vincent Janssen,9.0,nl NED,WB,23-066,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
13,Hugo Lloris,1.0,fr FRA,GK,30-237,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,4,0,0,14,20,0,37,4,9,0,0,0,41,9,14,39.1
