,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Roberto Firmino,9.0,br BRA,FW,25-314,80,21,32,65.6,271,90,13,19,68.4,6,9,66.7,1,1,100.0,1,0.9,0.1,2,3,1,0,4
1,Divock Origi,27.0,be BEL,FW,22-116,10,1,2,50.0,23,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,20,31,64.5,267,72,9,11,81.8,9,15,60.0,0,1,0.0,0,0.1,0.1,2,1,2,0,3
3,Mohamed Salah,11.0,eg EGY,RW,25-058,85,14,20,70.0,230,76,7,8,87.5,5,7,71.4,1,1,100.0,0,0.0,0.0,0,2,0,0,2
4,James Milner,7.0,eng ENG,RM,31-220,5,1,4,25.0,8,0,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,31,43,72.1,527,177,14,18,77.8,14,19,73.7,2,4,50.0,0,0.1,0.1,1,2,2,0,6
6,Jordan Henderson,14.0,eng ENG,CM,27-056,90,46,68,67.6,1094,348,13,18,72.2,23,33,69.7,10,15,66.7,0,0.1,0.1,1,6,2,0,9
7,Emre Can,23.0,de GER,"RM,LM",23-212,90,33,41,80.5,577,116,15,19,78.9,14,16,87.5,3,4,75.0,1,0.2,0.0,1,0,1,0,4
8,Alberto Moreno,18.0,es ESP,LB,25-038,90,43,58,74.1,807,279,12,15,80.0,26,32,81.3,4,9,44.4,0,0.0,0.0,1,3,0,0,0
9,Dejan Lovren,6.0,hr CRO,CB,28-038,90,56,67,83.6,1072,426,17,21,81.0,35,39,89.7,4,7,57.1,0,0.0,0.0,1,4,0,0,7
10,Joël Matip,32.0,cm CMR,CB,26-004,90,47,57,82.5,894,431,15,17,88.2,30,33,90.9,2,7,28.6,0,0.0,0.0,0,3,0,0,3
11,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,43,59,72.9,845,382,20,24,83.3,14,18,77.8,9,16,56.3,0,0.3,0.2,2,0,1,0,1
12,Joe Gomez,12.0,eng ENG,RB,20-081,1,2,3,66.7,60,39,0,1,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,1,1,1,1,1
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,28,42,66.7,638,473,5,5,100.0,19,20,95.0,4,17,23.5,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,386,527,73.2,7313,2909,141,178,79.2,197,243,81.1,41,84,48.8,2,1.8,0.6,12,25,10,1,40
