,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Benik Afobe,9.0,cd COD,FW,24-181,63,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,2,0,7,8,87.5,0,9,1,0,0
1,Jermain Defoe,18.0,eng ENG,FW,34-309,27,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.1,1,0,3,3,100.0,0,4,0,0,0
2,Joshua King,17.0,no NOR,FW,25-209,90,0,0,0,0,2,0,0,0,31,0,0,0,0.2,0.2,0.0,1,0,21,24,87.5,3,14,1,3,3
3,Marc Pugh,7.0,eng ENG,LM,30-132,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,1,0,20,23,87.0,1,10,1,1,0
4,Jordon Ibe,33.0,eng ENG,"RM,LM",21-247,45,0,0,0,0,1,0,0,0,37,2,0,0,0.0,0.0,0.0,1,0,23,30,76.7,3,25,3,2,0
5,Harry Arter,8.0,ie IRL,CM,27-227,90,0,0,0,0,1,0,1,0,111,3,2,1,0.0,0.0,0.0,1,0,98,105,93.3,17,59,4,1,0
6,Andrew Surman,6.0,eng ENG,CM,30-357,90,0,0,0,0,1,0,0,0,111,1,0,1,0.0,0.0,0.0,3,0,93,106,87.7,13,40,1,0,0
7,Ryan Fraser,24.0,sct SCO,"LM,RM",23-169,90,0,0,0,0,2,1,0,0,59,1,0,2,0.1,0.1,0.1,4,0,41,50,82.0,8,29,1,0,0
8,Charlie Daniels,11.0,eng ENG,LB,30-339,90,0,0,0,0,1,0,0,0,82,2,0,0,0.0,0.0,0.0,0,0,62,76,81.6,9,29,1,0,0
9,Nathan Aké,5.0,nl NED,CB,22-175,90,0,0,0,0,1,1,0,0,70,4,1,0,0.1,0.1,0.0,0,0,54,61,88.5,3,24,0,0,0
10,Steve Cook,3.0,eng ENG,CB,26-115,90,0,0,0,0,0,0,0,0,71,1,1,0,0.0,0.0,0.0,1,0,49,65,75.4,7,27,2,0,0
11,Simon Francis,2.0,eng ENG,RB,32-177,79,0,0,0,0,0,0,0,0,83,2,1,0,0.0,0.0,0.0,0,0,52,70,74.3,3,28,1,2,2
12,Adam Smith,15.0,eng ENG,RB,26-105,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0
13,Asmir Begović,27.0,ba BIH,GK,30-053,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,23,31,74.2,0,6,0,0,0
14,14 Players,,,,,990,0,0,0,0,9,2,1,0,736,16,5,5,0.5,0.5,0.4,15,0,550,657,83.7,67,307,16,9,5
