,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Javier Hernández,17.0,mx MEX,FW,29-073,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
1,Marko Arnautović,27.0,at AUT,"LW,LM",28-116,90,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,0,0
2,André Ayew,20.0,gh GHA,"RW,RM",27-239,90,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0
3,Edimilson Fernandes,31.0,ch SUI,AM,21-120,59,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0
4,Diafra Sakho,15.0,sn SEN,FW,27-232,31,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
5,Pedro Obiang,14.0,gq EQG,"DM,CM",25-139,90,6,5,4,2,0,1,7,14.3,6,1,0,1,0,6,3,0
6,Mark Noble,16.0,eng ENG,DM,30-097,60,4,2,2,1,1,1,3,33.3,2,3,2,1,0,4,2,0
7,Declan Rice,41.0,eng ENG,CM,18-211,30,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
8,Arthur Masuaku,26.0,cd COD,LB,23-279,80,5,4,2,2,1,2,5,40.0,3,1,1,0,2,7,4,1
9,Aaron Cresswell,3.0,eng ENG,LB,27-241,10,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
10,Angelo Ogbonna,21.0,it ITA,CB,29-082,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0
11,Winston Reid,2.0,nz NZL,CB,29-041,90,1,1,1,0,0,1,2,50.0,1,2,2,0,3,4,6,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-209,90,2,2,2,0,0,1,4,25.0,3,3,3,0,1,3,5,0
13,Joe Hart,25.0,eng ENG,GK,30-116,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
14,14 Players,,,,,990,21,16,12,7,2,8,31,25.8,23,14,8,6,12,33,27,1
